index,Album,Song Name,Lyrics
10,Taylor Swift,Stay Beautiful,"Corey's eyes are like a jungle He smiles, it's like the radio He whispers songs into my window In words that nobody knows There's pretty girls on every corner They watch him as he's walking home Saying, ""Does he know?"" Will you ever know?  You're beautiful, every little piece, love Don't you know you're really gonna be someone? Ask anyone And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't Stay beautiful Cory finds another way to be The highlight of my day I'm taking pictures in my mind So I can save 'em for a rainy day It's hard to make a conversation When he's taking my breath away I should say, ""Hey, by the way""  You're beautiful, every little piece, love Don't you know you're really gonna be someone? Ask anyone And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't Stay beautiful  If you and I are a story That never gets told If what you are is a daydream I'll never get to hold, at least you'll know  You're beautiful, every little piece, love Don't you know you're really gonna be someone? Ask anyone And when you find everything you looked for I hope your life leads you back to my front door Oh, but if it don't Will you stay beautiful, beautiful, beautiful? Beautiful, beautiful, beautiful You might also like La-la-la Oh-oh-oh Oh-oh-oh-oh Oh, but if it don't Stay beautiful, stay beautiful Na-na-na, na-na"
11,Taylor Swift,Invisible,"She can't see the way your eyes Light up when you smile She'll never notice how you stop and stare Whenever she walks by  And you can't see me wanting you the way you want her But you are everything to me  And I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me But if you only knew me We could be a beautiful miracle, unbelievable Instead of just invisible Oh, yeah, oh  There's a fire inside of you That can't help but shine through She's never gonna see the light No matter what you do  And all I think about is how to make you think of me And everything that we could be  And I just wanna show you She don't even know you She's never gonna love you like I want to And you just see right through me But if you only knew me We could be a beautiful miracle, unbelievable Instead of just invisible  Like shadows in a faded light Oh, we're invisible I just wanna open your eyes And make you realize You might also like I just wanna show you She don't even know you Baby, let me love you, let me want you You just see right through me But if you only knew me We could be a beautiful miracle, unbelievable Instead of just invisible  Oh, yeah  She can't see the way your eyes Light up when you smile"
12,Taylor Swift,Tied Together with a Smile,"Seems the only one who doesn't see your beauty Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true 'Cause I know you  Hold on, baby, you're losing it The water's high, you're jumping into it and letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone, oh I guess it's true that love was all you wanted 'Cause you're giving it away like it's extra change Hoping it will end up in his pocket (Pocket) But he leaves you out like a penny in the rain Oh, 'cause it's not his price to pay It's not his price to pay  Hold on, baby, you're losing it The water's high, you're jumping into it and letting go And no one knows That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone, oh Oh, oh  Hold on, baby, you're losing it The water's high, you're jumping into it and letting go And no one knows That you cry but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone, oh You might also like You're tied together with a smile But you're coming undone, oh, oh-oh Goodbye, baby With a smile, baby, baby Oh"
14,Taylor Swift,I'm Only Me When I'm With You,"Friday night beneath the stars In a field behind your yard You and I are painting pictures in the sky And sometimes, we don't say a thing Just listen to the crickets sing Everything I need is right here by my side  And I know everything about you I don't wanna live without you I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well, you drive me crazy half the time The other half, I'm only tryin' to Let you know that what I feel is true And I'm only me when I'm with you  Just a small-town boy and girl Livin' in a crazy world Tryna figure out what is and isn't true And I don't try to hide my tears My secrets or my deepest fears Through it all, nobody gets me like you do  And you know everything about me You say that you can't live without me  I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well, you drive me crazy half the time The other half, I'm only tryin' to Let you know that what I feel is true And I'm only me when I'm with you You might also like When I'm with anybody else It's so hard to be myself And only you can tell  That I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well, you drive me crazy half the time The other half, I'm only tryin' to Let you know that what I feel is true And I'm only me Who I wanna be Well, I'm only me when I'm with you  With you Uh-huh-huh, yeah"
15,Fearless,Fifteen,"You take a deep breath and you walk through the doors It's the mornin' of your very first day You say hi to your friends you ain't seen in a while Try and stay out of everybody's way It's your freshman year and you're gonna be here For the next four years in this town Hopin' one of those senior boys will wink at you and say ""You know, I haven't seen you around before""  'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen, feelin' like there's nothin' to figure out Well, count to ten, take it in This is life before you know who you're gonna be Fifteen You sit in class next to a redhead named Abigail And soon enough, you're best friends Laughin' at the other girls who think they're so cool We'll be outta here as soon as we can And then, you're on your very first date and he's got a car And you're feelin' like flyin' And your mama's waitin' up and you're thinkin' he's the one And you're dancin' 'round your room when the night ends When the night ends  'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen and your first kiss Makes your head spin 'round But in your life, you'll do things greater than Dating the boy on the football team But I didn't know it at fifteen  When all you wanted was to be wanted Wish you could go back and tell yourself what you know now Back then, I swore I was gonna marry him someday But I realized some bigger dreams of mine And Abigail gave everything she had To a boy who changed his mind And we both cried You might also like 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen, don't forget to look before you fall I've found time can heal most anything And you just might find who you're supposed to be I didn't know who I was supposed to be At fifteen  La-la-la, la-la-la, la-la-la-la La-la-la, la-la-la, la-la-la-la La-la-la, la-la-la  Your very first day Take a deep breath, girl Take a deep breath as you walk through the doors"
16,Fearless,Change,"And it's a sad picture, the final blow hits you Somebody else gets what you wanted again and You know it's all the same, another time and place Repeating history and you're getting sick of it But I believe in whatever you do And I'll do anything to see it through  Because these things will change Can you feel it now? These walls that they put up to hold us back will fall down This revolution, the time will come For us to finally win And we'll sing hallelujah, we'll sing hallelujah Oh, oh So, we've been outnumbered, raided, and now cornered It's hard to fight when the fight ain’t fair We're getting stronger now, find things they never found They might be bigger but we're faster and never scared You can walk away, say we don't need this But there's something in your eyes says we can beat this  'Cause these things will change Can you feel it now? These walls that they put up to hold us back will fall down This revolution, the time will come For us to finally win And we'll sing hallelujah, we'll sing hallelujah Oh, oh  Tonight, we stand, get off our knees Fight for what we've worked for all these years And the battle was long, it's the fight of our lives But we'll stand up champions tonight  It was the night things changed Can you see it now? These walls that they put up to hold us back fell down It's a revolution, throw your hands up 'Cause we never gave in And we'll sing hallelujah, we sang hallelujah HallelujahYou might also like"
17,Fearless,The Best Day,"I'm five years old, it's getting cold, I've got my big coat on I hear your laugh and look up smiling at you, I run and run Past the pumpkin patch and the tractor rides Look now, the sky is gold I hug your legs and fall asleep on the way home  I don't know why all the trees change in the fall But I know you're not scared of anything at all Don't know if Snow White's house is near or far away But I know I had the best day with you today I'm thirteen now And don't know how my friends could be so mean I come home crying and you hold me tight and grab the keys And we drive and drive until we found a town far enough away And we talk and window shop 'til I've forgotten all their names  I don't know who I'm going to talk to now at school But I know I'm laughing on the car ride home with you Don't know how long it's going to take to feel okay But I know I had the best day with you today  I have an excellent father, his strength is making me stronger God smiles on my little brother, inside and out He's better than I am I grew up in a pretty house and I had space to run And I had the best days with you  There is a video I found from back when I was three You set up a paint set in the kitchen and you're talking to me It's the age of princesses and pirate ships and the seven dwarfs And Daddy's smart And you're the prettiest lady in the whole wide world You might also like And now I know why all the trees change in the fall I know you were on my side even when I was wrong And I love you for giving me your eyes For staying back and watching me shine And I didn't know if you knew, so I'm taking this chance to say That I had the best day with you today"
18,Fearless,You're Not Sorry,"All this time I was wasting hoping you would come around I've been giving out chances every time and all you do is let me down And it's taken me this long, baby, but I've figured you out And you're thinking we'll be fine again, but not this time around  You don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you, baby, like I did before You're not sorry (No, no, no, no) You're looking so innocent, I might believe you if I didn't know Could've loved you all my life if you hadn't left me waiting in the cold And you've got your share of secrets And I'm tired of being last to know, oh And now you're asking me to listen 'cause it's worked each time before  But you don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you, baby, like I did before You're not sorry (No, no, no, no) You're not sorry (No, no, no, no)  You had me crawling for you, honey, and it never would've gone away, no You used to shine so bright, but I watched all of it fade  So you don't have to call anymore I won't pick up the phone This is the last straw There's nothing left to beg for And you can tell me that you're sorry But I don't believe you, baby, like I did before You're not sorry (No, no, no, no) You're not sorry (No, no, no, no) (No, no, no, no, no, no, no, no, no, no, no, no) Woah, oh, oh-oh, oh-oh-oh (Oh, oh, oh, no, no, no, no, no, no)You might also like"
19,Fearless,The Way I Loved You,"He is sensible and so incredible And all my single friends are jealous He says everything I need to hear and it's like I couldn't ask for anything better He opens up my door and I get into his car And he says you look beautiful tonight And I feel perfectly fine  But I miss screaming and fighting and kissing in the rain And it's 2AM and I'm cursing your name You're so in love that you act insane And that's the way I loved you Breaking down and coming undone It's a roller coaster kind of rush And I never knew I could feel that much And that's the way I loved you He respects my space And never makes me wait And he calls exactly when he says he will He's close to my mother Talks business with my father He's charming and endearing And I'm comfortable  But I miss screaming and fighting and kissing in the rain It's 2AM and I'm cursing your name You're so in love that you acted insane And that's the way I loved you Breaking down and coming undone It's a roller coaster kind of rush And I never knew I could feel that much And that's the way I loved you  He can't see the smile I'm faking And my heart's not breaking 'Cause I'm not feeling anything at all And you were wild and crazy Just so frustrating Intoxicating, complicated Got away by some mistake and now You might also like I miss screaming and fighting and kissing in the rain It's 2AM and I'm cursing your name I'm so in love that I acted insane And that's the way I loved you Breaking down and coming undone It's a roller coaster kind of rush And I never knew I could feel that much And that's the way I loved you, oh, oh  And that's the way I loved you, oh, oh Never knew I could feel that much And that's the way I loved you"
20,Fearless,Hey Stephen,"Mmm-mm, mm-mm Mmm-mm, mm-mm Mmm-mm, mm-mm, yeah  Hey, Stephen, I know looks can be deceiving But I know I saw a light in you And as we walked, we were talking I didn't say half the things I wanted to Of all the girls tossing rocks at your window I'll be the one waiting there even when it's cold Hey, Stephen, boy, you might have me believing I don't always have to be alone 'Cause I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself  Hey, Stephen, I've been holding back this feeling So I got some things to say to you, ha I've seen it all, so I thought But I never seen nobody shine the way you do The way you walk, way you talk, way you say my name It's beautiful, wonderful, don't you ever change Hey, Stephen, why are people always leaving? I think you and I should stay the same  'Cause I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself  They're dimming the street lights, you're perfect for me Why aren't you here tonight? I'm waiting alone now, so come on and come out And pull me near and shine, shine, shine You might also like Hey, Stephen, I could give you fifty reasons Why I should be the one you choose All those other girls, well, they're beautiful But would they write a song for you? (Ha-ha)  I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself If you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself  Myself Can't help myself I can't help myself"
21,Fearless,Fearless,"There's something 'bout the way The street looks when it's just rained There's a glow off the pavement, you walk me to the car And you know I wanna ask you to dance right there In the middle of the parking lot, yeah Oh, yeah  We're driving down the road, I wonder if you know I'm trying so hard not to get caught up now But you're just so cool, run your hands through your hair Absentmindedly making me want you And I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you, I'd dance In a storm in my best dress, fearless  So, baby, drive slow 'til we run out of road In this one horse town, I wanna stay right here In this passenger's seat You put your eyes on me In this moment now, capture it, remember it  'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you, I'd dance In a storm in my best dress, fearless  Well, you stood there with me in the doorway My hands shake, I'm not usually this way but You pull me in and I'm a little more brave It's the first kiss, it's flawless, really something It's fearless Oh, yeah You might also like 'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you, I'd dance In a storm in my best dress, fearless 'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you, I'd dance In a storm in my best dress, fearless  Oh, oh Oh, yeah"
22,Fearless,Forever & Always,"Once upon a time I believe it was a Tuesday when I caught your eye And we caught onto something I hold onto the night You looked me in the eye and told me you loved me Were you just kidding? 'Cause it seems to me This thing is breaking down, we almost never speak I don't feel welcome anymore Baby, what happened? Please, tell me 'Cause one second, it was perfect Now you're halfway out the door And I stare at the phone, he still hasn't called And then you feel so low you can't feel nothing at all And you flashback to when he said, ""Forever and always"" Oh, and it rains in your bedroom Everything is wrong It rains when you're here and it rains when you're gone 'Cause I was there when you said, ""Forever and always""  Was I out of line? Did I say something way too honest, made you run and hide Like a scared little boy? I looked into your eyes Thought I knew you for a minute, now I'm not so sure So here's to everything coming down to nothing Here's to silence that cuts me to the core Where is this going? Thought I knew for a minute, but I don't anymore  And I stare at the phone, he still hasn't called And then you feel so low you can't feel nothing at all And you flashback to when he said, ""Forever and always"" Oh, and it rains in your bedroom Everything is wrong It rains when you're here and it rains when you're gone 'Cause I was there when you said, ""Forever and always"" You didn't mean it, baby, I don't think so You might also like Oh, back up, baby, back up Did you forget everything? Back up, baby, back up Did you forget everything?  'Cause it rains in your bedroom Everything is wrong It rains when you're here and it rains when you're gone 'Cause I was there when you said, ""Forever and always"" Oh, I stare at the phone, he still hasn't called And then you feel so low you can't feel nothing at all And you flashback to when we said, ""Forever and always"" And it rains in your bedroom Everything is wrong It rains when you're here and it rains when you're gone 'Cause I was there when you said, ""Forever and always""  You didn't mean it, baby You said, ""Forever and always"", yeah"
23,Fearless,Tell Me Why,"I took a chance, I took a shot And you might think I'm bulletproof, but I'm not You took a swing, I took it hard And down here from the ground, I see who you are  I'm sick and tired of your attitude I'm feeling like I don't know you You tell me that you love me, then cut me down And I need you like a heartbeat But you know you got a mean streak That makes me run for cover when you're around And here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me Tell me why You could write a book on how to ruin someone's perfect day Well, I get so confused and frustrated Forget what I'm trying to say, oh  I'm sick and tired of your reasons I got no one to believe in You tell me that you want me, then push me around And I need you like a heartbeat But you know you got a mean streak That makes me run for cover when you're around Here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me Tell me why  Why do you have to make me feel small So you can feel whole inside? Why do you have to put down my dreams So you're the only thing on my mind?  I'm sick and tired of your attitude I'm feeling like I don't know you You tell me that you want me, then cut me down I'm sick and tired of your reasons I've got no one to believe in You ask me for my love, then you push me around Here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me Tell me why (Why) Tell me why (Why) You might also like I take a step back, let you go I told you I'm not bulletproof Now you know"
24,Fearless,White Horse,"Say you're sorry, that face of an angel Comes out just when you need it to As I paced back and forth all this time 'Cause I honestly believed in you Holdin' on, the days drag on Stupid girl, I shoulda known, I shoulda known  That I'm not a princess, this ain't a fairytale I'm not the one you'll sweep off her feet, lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse To come around Maybe I was naive, got lost in your eyes And never really had a chance My mistake, I didn't know to be in love You had to fight to have the upper hand I had so many dreams about you and me Happy endings, now I know  That I'm not a princess, this ain't a fairytale I'm not the one you'll sweep off her feet, lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse To come around  And there you are on your knees Beggin' for forgiveness, beggin' for me Just like I always wanted But I'm so sorry  'Cause I'm not your princess, this ain't our fairytale I'm gonna find someone someday who might actually treat me well This is a big world, that was a small town There in my rear view mirror disappearing now And it's too late for you and your white horse Now it's too late for you and your white horse To catch me now You might also like Oh, whoa, whoa, whoa Try and catch me now, oh It's too late to catch me now"
25,Fearless,Breathe,"I see your face in my mind as I drive away 'Cause none of us thought it was gonna end that way People are people and sometimes, we change our minds But it's killing me to see you go after all this time  Music starts playing like the end of a sad movie It's the kind of ending you don't really wanna see 'Cause it's tragedy and it'll only bring you down Now, I don't know what to be without you around And we know it's never simple, never easy Never a clean break, no one here to save me You're the only thing I know like the back of my hand  And I can't breathe without you, but I have to Breathe without you, but I have to  Never wanted this, never wanna see you hurt Every little bump in the road, I tried to swerve But people are people and sometimes, it doesn't work out Nothing we say is gonna save us from the fall out  And we know it's never simple, never easy Never a clean break, no one here to save me You're the only thing I know like the back of my hand  And I can't breathe without you, but I have to Breathe without you but I have to  It's 2 A.M, feeling like I just lost a friend Hope you know it's not easy, easy for me It's 2 A.M, feeling like I just lost a friend Hope you know this ain't easy, easy for me You might also like And we know it's never simple, never easy Never a clean break, no one here to save me, oh-oh  I can't breathe without you, but I have to Breathe without you, but I have to Breathe without you, but I have to  I'm sorry, I'm sorry (Mmm) I'm sorry, (Yeah, yeah) I'm sorry I'm sorry, I'm sorry I'm sorry"
